setting,variant,seed,n,d,d_info,k_true,status,error,ARI,NMI,runtime_sec,final_K,correct_K,over_split,under_split,split_proposals,accepted_splits,rejected_splits,active_dims,feature_f1_thresh,feature_f1_topd
correlated_noise,Fixed-K,17,200,100,10,3,ok,,0.9262623979554283,0.888337730784162,1.6070187209988944,3,1,0,0,0,0,0,48,0.3448275862068966,1.0
correlated_noise,Full-DIVI,17,200,100,10,3,ok,,0.7184537320354761,0.7196074194787211,1.2437827920002746,3,1,0,0,2,2,0,46,0.35714285714285715,1.0
correlated_noise,No-Gating,17,200,100,10,3,ok,,0.5514082153762969,0.6854923680813533,0.8379427489999216,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,17,200,100,10,3,ok,,0.4795726527585767,0.5452436609047453,1.2860678799988818,3,1,0,0,2,2,0,100,0.18181818181818182,0.5
correlated_noise,No-StepA-FixedK,17,200,100,10,3,ok,,0.9262623979554283,0.888337730784162,0.9357930549995217,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
correlated_noise,Unsafe-Split,17,200,100,10,3,ok,,0.6592690330617309,0.7467006458424662,1.24802338399968,6,0,1,0,4,4,0,45,0.36363636363636365,1.0
correlated_noise,Fixed-K,18,200,100,10,3,ok,,1.0,1.0,1.1028984730000957,3,1,0,0,0,0,0,45,0.36363636363636365,1.0
correlated_noise,Full-DIVI,18,200,100,10,3,ok,,0.4460073578680455,0.5190472201592888,0.9296976680016087,2,0,0,1,2,1,1,30,0.5,1.0
correlated_noise,No-Gating,18,200,100,10,3,ok,,0.5167516148827104,0.6062619681735029,0.596984526997403,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,18,200,100,10,3,ok,,0.4213107239143209,0.5250873385531493,0.8949893680000969,3,1,0,0,2,2,0,100,0.18181818181818182,0.4
correlated_noise,No-StepA-FixedK,18,200,100,10,3,ok,,0.9851149892064401,0.9763780799682114,0.8763530439973692,3,1,0,0,0,0,0,100,0.18181818181818182,1.0
correlated_noise,Unsafe-Split,18,200,100,10,3,ok,,0.6806828091724539,0.7906937709106046,1.09381029600263,6,0,1,0,4,4,0,28,0.5263157894736842,1.0
correlated_noise,Fixed-K,19,200,100,10,3,ok,,1.0,1.0,1.6109978389977186,3,1,0,0,0,0,0,45,0.36363636363636365,1.0
correlated_noise,Full-DIVI,19,200,100,10,3,ok,,0.9555722196925044,0.9354464180988425,1.0384452139987843,3,1,0,0,2,2,0,46,0.35714285714285715,1.0
correlated_noise,No-Gating,19,200,100,10,3,ok,,0.503593082503531,0.5942501983509386,0.6046994850003102,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,19,200,100,10,3,ok,,0.6436377025457182,0.6417094571130795,0.9582364640009473,3,1,0,0,2,2,0,100,0.18181818181818182,0.2
correlated_noise,No-StepA-FixedK,19,200,100,10,3,ok,,1.0,1.0,1.3219184699992184,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
correlated_noise,Unsafe-Split,19,200,100,10,3,ok,,0.6958323153961845,0.7974403205542898,1.5252092810005706,6,0,1,0,4,4,0,39,0.40816326530612246,1.0
correlated_noise,Fixed-K,20,200,100,10,3,ok,,1.0,1.0,1.1170930779990158,3,1,0,0,0,0,0,52,0.3225806451612903,1.0
correlated_noise,Full-DIVI,20,200,100,10,3,ok,,0.6377728012861476,0.6391028289344043,1.2669535409986565,3,1,0,0,2,2,0,39,0.40816326530612246,1.0
correlated_noise,No-Gating,20,200,100,10,3,ok,,0.45220032606286126,0.5252799795677509,0.6003163809982652,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,20,200,100,10,3,ok,,0.4034966077670775,0.45923173993569205,0.9607859810021182,3,1,0,0,2,2,0,100,0.18181818181818182,0.5
correlated_noise,No-StepA-FixedK,20,200,100,10,3,ok,,1.0,1.0,0.8873541960019793,3,1,0,0,0,0,0,100,0.18181818181818182,1.0
correlated_noise,Unsafe-Split,20,200,100,10,3,ok,,0.703560949347144,0.8007548849721303,1.0734259109995037,6,0,1,0,4,4,0,39,0.40816326530612246,1.0
matched,Fixed-K,1,200,100,10,3,ok,,1.0,1.0,1.351272631000029,3,1,0,0,0,0,0,21,0.6451612903225806,1.0
matched,Full-DIVI,1,200,100,10,3,ok,,0.9409304304319847,0.9181192087635595,3.12047718499889,3,1,0,0,2,2,0,22,0.625,1.0
matched,No-Gating,1,200,100,10,3,ok,,0.4460073578680455,0.5190472201592888,0.8179191799972614,2,0,0,1,1,1,0,100,,
matched,No-StepA,1,200,100,10,3,ok,,0.7821282805686255,0.7575842238142113,1.2322261269982846,3,1,0,0,2,2,0,100,0.18181818181818182,0.5
matched,No-StepA-FixedK,1,200,100,10,3,ok,,1.0,1.0,0.8639069610035222,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
matched,Unsafe-Split,1,200,100,10,3,ok,,0.6819390393852095,0.7913985802259049,1.0122603039999376,6,0,1,0,4,4,0,20,0.6666666666666666,1.0
