design,seed,n,d,d_info,delta,status,error,method,ARI,NMI,runtime_sec,final_K,feature_f1_thresh,feature_f1_top_union,active_dims,feature_auroc,feature_auprc,S12_mean_gate,S12_top_recall,S13_mean_gate,S13_top_recall,S23_mean_gate,S23_top_recall,noise_mean_gate,gate_signal_noise_gap
global_support,8,600,200,15,1.0,ok,,K-means,0.970114344455987,0.9476869275101106,0.11687472800076648,3,,,,,,,,,,,,,
global_support,8,600,200,15,1.0,ok,,Diag-GMM,0.9700887585727752,0.9468938214354017,0.10627461400144966,3,,,,,,,,,,,,,
global_support,8,600,200,15,1.0,ok,,DIVI-Info,0.9801336683417086,0.9660168044526185,2.252857966999727,3,0.9090909090909091,1.0,18.0,1.0,1.0,0.9452050924301147,1.0,0.9442969560623169,1.0,0.9400418400764465,1.0,0.23035280406475067,0.7128283977508545
global_support,9,600,200,15,1.0,ok,,K-means,0.9604556312482856,0.93417097602171,0.10169253999993089,3,,,,,,,,,,,,,
global_support,9,600,200,15,1.0,ok,,Diag-GMM,0.9604185055176206,0.9341588485927389,0.08421865200034517,3,,,,,,,,,,,,,
global_support,9,600,200,15,1.0,ok,,DIVI-Info,0.9751295644672853,0.9564616864322842,2.5408542599998327,3,0.8823529411764706,1.0,19.0,1.0,1.0,0.9473272562026978,1.0,0.9427005052566528,1.0,0.9453380703926086,1.0,0.2092292606830597,0.735892653465271
global_support,10,600,200,15,1.0,ok,,K-means,0.94107043659972,0.9060609760459273,0.17463263500030735,3,,,,,,,,,,,,,
global_support,10,600,200,15,1.0,ok,,Diag-GMM,0.9553924892860705,0.9261796722319728,0.1422221200009517,3,,,,,,,,,,,,,
global_support,10,600,200,15,1.0,ok,,DIVI-Info,0.9701637558541774,0.9469171136774089,2.9711943340007565,3,0.9375,1.0,17.0,1.0,1.0,0.9435583353042603,1.0,0.9456065893173218,1.0,0.940560519695282,1.0,0.2215375155210495,0.7217043042182922
global_support,11,600,200,15,1.0,ok,,K-means,0.9751295644672853,0.9564616864322842,0.1622060869995039,3,,,,,,,,,,,,,
global_support,11,600,200,15,1.0,ok,,Diag-GMM,0.980096629062875,0.966790895757845,0.12388294500124175,3,,,,,,,,,,,,,
global_support,11,600,200,15,1.0,ok,,DIVI-Info,0.9850377307840942,0.9734455422717693,2.4557918470000004,3,0.8823529411764706,1.0,19.0,1.0,1.0,0.9479308128356934,1.0,0.9468737840652466,1.0,0.9477165937423706,1.0,0.22611097991466522,0.7213960886001587
global_support,12,600,200,15,1.0,ok,,K-means,0.9553924892860705,0.9245919421777858,0.11296431499977189,3,,,,,,,,,,,,,
global_support,12,600,200,15,1.0,ok,,Diag-GMM,0.9603302130156446,0.9299570997037604,0.09356211500016798,3,,,,,,,,,,,,,
global_support,12,600,200,15,1.0,ok,,DIVI-Info,0.9554770895397825,0.9233289530341928,2.5790772960008326,3,0.8823529411764706,1.0,19.0,1.0,1.0,0.939627468585968,1.0,0.9459918141365051,1.0,0.9382883906364441,1.0,0.21577288210391998,0.7255297303199768
global_support,13,600,200,15,1.0,ok,,K-means,0.9652218168183513,0.937381824261226,0.10869437000110338,3,,,,,,,,,,,,,
global_support,13,600,200,15,1.0,ok,,Diag-GMM,0.9701381701566875,0.944814684272873,0.11384748499949637,3,,,,,,,,,,,,,
global_support,13,600,200,15,1.0,ok,,DIVI-Info,0.9750304908988124,0.9564295928153679,2.2363253720013745,3,0.8571428571428571,1.0,20.0,1.0,1.0,0.939058780670166,1.0,0.9441465139389038,1.0,0.9371474385261536,1.0,0.20678454637527466,0.7333331108093262
global_support,14,600,200,15,1.0,ok,,K-means,0.9456603962091055,0.908447360975506,0.1139019170004758,3,,,,,,,,,,,,,
global_support,14,600,200,15,1.0,ok,,Diag-GMM,0.9701381701566875,0.944814684272873,0.08085389000007126,3,,,,,,,,,,,,,
global_support,14,600,200,15,1.0,ok,,DIVI-Info,0.9751295644672853,0.9543662412852868,2.3871192669994343,3,0.9375,1.0,17.0,1.0,1.0,0.9415149688720703,1.0,0.9386879801750183,1.0,0.9452980756759644,1.0,0.20638452470302582,0.7354491353034973
global_support,15,600,200,15,1.0,ok,,K-means,0.980046127139559,0.961798812993219,0.11347247199955746,3,,,,,,,,,,,,,
global_support,15,600,200,15,1.0,ok,,Diag-GMM,0.9850001687576281,0.9713385371065006,0.11016331599967089,3,,,,,,,,,,,,,
global_support,15,600,200,15,1.0,ok,,DIVI-Info,0.9751169179229481,0.954362545059819,2.808068080999874,3,0.9090909090909091,1.0,18.0,1.0,1.0,0.9426110982894897,1.0,0.9448584318161011,1.0,0.9484202265739441,1.0,0.19344602525234222,0.7518506050109863
global_support,16,600,200,15,1.0,ok,,K-means,0.950522923674142,0.9137893707246237,0.14663710400054697,3,,,,,,,,,,,,,
global_support,16,600,200,15,1.0,ok,,Diag-GMM,0.955539610754077,0.9262299500705706,0.12707836000117823,3,,,,,,,,,,,,,
global_support,16,600,200,15,1.0,ok,,DIVI-Info,0.9652728605819767,0.9402776079792851,2.832298481998805,3,0.8571428571428571,1.0,20.0,1.0,1.0,0.944723904132843,1.0,0.9484434127807617,1.0,0.9478937983512878,1.0,0.2119259387254715,0.735094428062439
global_support,17,600,200,15,1.0,ok,,K-means,0.9604185055176206,0.9328649724633618,0.12694405799993547,3,,,,,,,,,,,,,
global_support,17,600,200,15,1.0,ok,,Diag-GMM,0.9652719836891507,0.9402787177957871,0.08930850399883639,3,,,,,,,,,,,,,
global_support,17,600,200,15,1.0,ok,,DIVI-Info,0.985037604845926,0.9713502414949174,2.371135626999603,3,0.967741935483871,1.0,16.0,1.0,1.0,0.9434884786605835,1.0,0.9442775845527649,1.0,0.9450637698173523,1.0,0.22530633211135864,0.7189703583717346
global_support,18,600,200,15,1.0,ok,,K-means,0.9455336122418595,0.9071167145558654,0.11811485900034313,3,,,,,,,,,,,,,
global_support,18,600,200,15,1.0,ok,,Diag-GMM,0.9602700119690433,0.9328163980594711,0.10824357400088047,3,,,,,,,,,,,,,
global_support,18,600,200,15,1.0,ok,,DIVI-Info,0.9651739949856187,0.9402449252706307,2.355211017000329,3,0.8571428571428571,1.0,20.0,1.0,1.0,0.9418856501579285,1.0,0.9418227076530457,1.0,0.9453779458999634,1.0,0.21734561026096344,0.7256831526756287
global_support,19,600,200,15,1.0,ok,,K-means,0.9602569691905256,0.9328132221836066,0.10313356299957377,3,,,,,,,,,,,,,
global_support,19,600,200,15,1.0,ok,,Diag-GMM,0.9555905252121236,0.9284217898584637,0.11062541899991629,3,,,,,,,,,,,,,
global_support,19,600,200,15,1.0,ok,,DIVI-Info,0.9603305469154148,0.9307428138035342,2.3580344909987616,3,0.9375,1.0,17.0,1.0,1.0,0.9456826448440552,1.0,0.9448345899581909,1.0,0.9444724321365356,1.0,0.211578369140625,0.7334181070327759
global_support,20,600,200,15,1.0,ok,,K-means,0.9504119264328611,0.9145385725992365,0.11603098299929115,3,,,,,,,,,,,,,
global_support,20,600,200,15,1.0,ok,,Diag-GMM,0.9602563001748949,0.9307184594821971,0.09517575400059286,3,,,,,,,,,,,,,
global_support,20,600,200,15,1.0,ok,,DIVI-Info,0.9602552966092157,0.9278381791153183,2.665682270999241,3,0.9375,1.0,17.0,1.0,1.0,0.9413354992866516,1.0,0.9384597539901733,1.0,0.947098433971405,1.0,0.22266291081905365,0.719635009765625
cluster_specific,1,600,200,15,1.0,ok,,K-means,0.975104690365823,0.9543582897591719,0.14006175199938298,3,,,,,,,,,,,,,
cluster_specific,1,600,200,15,1.0,ok,,Diag-GMM,0.9701630024547008,0.9448226683515416,0.10016048999932536,3,,,,,,,,,,,,,
cluster_specific,1,600,200,15,1.0,ok,,DIVI-Info,0.9701630024547008,0.9448226683515416,3.021182841999689,3,0.7894736842105263,1.0,23.0,1.0,1.0,0.830748438835144,1.0,0.9472176432609558,1.0,0.8369314074516296,1.0,0.25470516085624695,0.6169273853302002
cluster_specific,2,600,200,15,1.0,ok,,K-means,0.9652985275324028,0.9415785886201078,0.17896841499896254,3,,,,,,,,,,,,,
cluster_specific,2,600,200,15,1.0,ok,,Diag-GMM,0.9555021728696192,0.924630608338273,0.12128776800091146,3,,,,,,,,,,,,,
cluster_specific,2,600,200,15,1.0,ok,,DIVI-Info,0.9800962940103582,0.9639095588301362,2.30982984900038,3,0.8108108108108109,1.0,22.0,1.0,1.0,0.9467961192131042,1.0,0.9496286511421204,1.0,0.9461976289749146,1.0,0.21356265246868134,0.7339782118797302
cluster_specific,3,600,200,15,1.0,ok,,K-means,0.9800971316204999,0.9667901920428031,0.105703363999055,3,,,,,,,,,,,,,
cluster_specific,3,600,200,15,1.0,ok,,Diag-GMM,0.9949958125176231,0.990445010867515,0.09817373400073848,3,,,,,,,,,,,,,
cluster_specific,3,600,200,15,1.0,ok,,DIVI-Info,0.9949958125176231,0.990445010867515,2.3907941359993856,3,0.9375,1.0,17.0,1.0,1.0,0.9441628456115723,1.0,0.9391342401504517,1.0,0.9402653574943542,1.0,0.18913592398166656,0.7520516514778137
cluster_specific,4,600,200,15,1.0,ok,,K-means,0.9652345048462752,0.9373854747669776,0.12040413300019281,3,,,,,,,,,,,,,
cluster_specific,4,600,200,15,1.0,ok,,Diag-GMM,0.9701630024547008,0.9448226683515416,0.08731790099955106,3,,,,,,,,,,,,,
cluster_specific,4,600,200,15,1.0,ok,,DIVI-Info,0.9701630024547008,0.9448226683515416,2.4525511209994875,3,0.8823529411764706,1.0,19.0,1.0,1.0,0.9483412504196167,1.0,0.9459189176559448,1.0,0.9484640955924988,1.0,0.2307819277048111,0.7167928814888
cluster_specific,5,600,200,15,1.0,ok,,K-means,0.9800459591868133,0.961799045056065,0.13185249299931456,3,,,,,,,,,,,,,
cluster_specific,5,600,200,15,1.0,ok,,Diag-GMM,0.9701640069788814,0.9469168085477443,0.10531169099886029,3,,,,,,,,,,,,,
cluster_specific,5,600,200,15,1.0,ok,,DIVI-Info,0.980096629062875,0.9667907781859975,2.4068322709990753,3,0.8333333333333334,1.0,21.0,1.0,1.0,0.9421927332878113,1.0,0.9447407722473145,1.0,0.9442521929740906,1.0,0.21909315884113312,0.7246353626251221
cluster_specific,6,600,200,15,1.0,ok,,K-means,0.9505356735619442,0.915888402594834,0.16189599000063026,3,,,,,,,,,,,,,
cluster_specific,6,600,200,15,1.0,ok,,Diag-GMM,0.9602198478427416,0.9328009560867377,0.1216511040001933,3,,,,,,,,,,,,,
