scenario,n,d,k,d_info,delta,noise_sd,seed,method,status,error,ARI,NMI,runtime_sec,final_K,active_dims,feature_f1_thresh,feature_f1_topd
high_dim_scaling,600,1000,3,10,2.0,3.0,5,DIVI-Info,ok,,1.0,1.0,13.657280460000038,3,80.0,0.2222222222222222,1.0
high_dim_scaling,600,1000,3,10,2.0,3.0,5,K-means,ok,,0.38342457946808617,0.42946118089108054,0.30993880400001217,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,5,diag-GMM,ok,,0.4540460388460826,0.5155201577431291,0.4291620530000273,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,5,PCA(50)+K-means,ok,,0.40062895010892724,0.44449947925688943,0.12912906699989435,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,5,PCA(50)+diag-GMM,ok,,0.436610733431879,0.4826784436350567,0.1796507090000432,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,6,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,14.848738013000002,3,101.0,0.18018018018018017,1.0
high_dim_scaling,600,1000,3,10,2.0,3.0,6,K-means,ok,,0.431933084680414,0.4626884844490512,0.29554206599982535,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,6,diag-GMM,ok,,0.5395917647696864,0.6268454065459987,0.7497580940000717,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,6,PCA(50)+K-means,ok,,0.4247784689291641,0.46199404790113463,0.20020585600013874,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,6,PCA(50)+diag-GMM,ok,,0.7227833786476582,0.7673161843200311,0.33521100699999806,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,7,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,13.115897482000037,3,68.0,0.2564102564102564,1.0
high_dim_scaling,600,1000,3,10,2.0,3.0,7,K-means,ok,,0.4295751287963997,0.46502297757577715,0.37889166100012517,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,7,diag-GMM,ok,,0.5007131515696168,0.5453971973896751,0.5022419770000397,3,,,
